id,base_food_id,name,equivalent_weight_g
port-off-0014100078609-1,ing-off-0014100078609,1 cookie (28 g),28
port-off-0016000283701-1,ing-off-0016000283701,1 serving (30 g),30
port-off-0025293001251-1,ing-off-0025293001251,1 cup (240 ml),240
port-off-0029000076853-1,ing-off-0029000076853,1 pack 28 g,28
port-off-0041116006517-1,ing-off-0041116006517,1 pieces 14 g,14
port-off-0041224722002-1,ing-off-0041224722002,28g,28
port-off-0041303015537-1,ing-off-0041303015537,2 tsp (8 g),8
port-off-0041331029018-1,ing-off-0041331029018,1/2 cup (130 g),130
port-off-0044000046521-1,ing-off-0044000046521,2 cookies (29 g),29
port-off-0054400000092-1,ing-off-0054400000092,1 tbsp (17 g),17
port-off-0070200838192-1,ing-off-0070200838192,2 tbsp (31 g),31
port-off-0070662087213-1,ing-off-0070662087213,1 container (113 g),113
port-off-0071537020366-1,ing-off-0071537020366,12 fl oz (360 ml),360
port-off-0072999442031-1,ing-off-0072999442031,4 olives (15 g),15
port-off-0072999483034-1,ing-off-0072999483034,2 tbsp (16 g),16
port-off-0076808003031-1,ing-off-0076808003031,1/2 cup (125 g),125
port-off-0076808004984-1,ing-off-0076808004984,2 sheets (50 g),50
port-off-0076808006506-1,ing-off-0076808006506,2 oz (56 g),56
